P_i (Model Probability),R_i (Recovery Score),BFD_i (Fairness Divergence),BFI (FAADS Score),SVE Decision,RF_pred,XGB_pred
0.93467593,0.9999999989999999,0.12959519680234427,0.9343807022152109,Automatic Intervention,1,1
0.99905545,0.9999999989999999,0.15697522916955323,0.9463167323755209,Automatic Intervention,2,2
0.99907327,0.9999999989999999,0.2274540060364016,0.9223598192983028,Automatic Intervention,3,3
0.99962616,0.9999999989999999,0.23544069639762186,0.9198267943931454,Automatic Intervention,4,4
0.9478739,0.9999999989999999,0.14133085039601945,0.9347459211894215,Automatic Intervention,1,1
0.99638426,0.7999999992,0.0,0.9328068172675859,Automatic Intervention,2,2
0.9834954,0.9999999989999999,0.12958601086262136,0.9504942456617673,Automatic Intervention,1,1
0.99919885,0.9999999989999999,0.17993397841383932,0.9385580837204153,Automatic Intervention,4,4
0.99917126,0.9999999989999999,0.15707103508860668,0.9463223649403438,Automatic Intervention,4,4
0.9995808,0.9999999989999999,0.1864156573238854,0.9364803469123772,Automatic Intervention,4,4
0.9869888,0.9999999989999999,0.1765474345620485,0.935680175038563,Automatic Intervention,1,1
0.99108034,0.9999999989999999,0.12567485334832898,0.9543270766693246,Automatic Intervention,2,2
0.8528901,0.9999999989999999,0.02705296845621926,0.9422557190707278,Automatic Intervention,1,1
0.9997211,0.9999999989999999,0.009585679503687066,0.9966488521802351,Automatic Intervention,0,0
0.9493071,0.9999999989999999,0.35029233622956346,0.8641719490599868,Automatic Intervention,1,1
0.99770725,0.9999999989999999,0.016107270188833473,0.9937669195580396,Automatic Intervention,0,0
0.998755,0.9999999989999999,0.016130797648376532,0.9941046867661372,Automatic Intervention,2,2
0.93467593,0.9999999989999999,0.27464896869987243,0.8850624197700512,Automatic Intervention,1,1
0.9997298,0.9999999989999999,0.055487924245322284,0.9810449499910283,Automatic Intervention,0,0
0.9991824,0.9999999989999999,0.1243034740843807,0.9574670311697566,Automatic Intervention,4,4
0.9997298,0.9999999989999999,0.08701849188548463,0.9703245569933732,Automatic Intervention,0,0
0.93467593,0.6666666659999999,0.09801402636039466,0.8351183002754736,Automatic Intervention,1,1
0.99917126,0.33333333299999995,0.2547829065797135,0.6931003288533674,Instructor Review,4,4
0.9991824,0.9999999989999999,0.49779407310301205,0.830480227503422,Automatic Intervention,4,4
0.99972814,0.9999999989999999,0.028860524179556916,0.9900977295715856,Automatic Intervention,0,0
0.98928577,0.0,0.07899230370593979,0.6396069419295709,Instructor Review,3,3
0.9944693,0.0,0.13124149246654332,0.6235527816490523,Instructor Review,2,2
0.7040399,0.0,0.240624701573915,0.49052076985228193,No Intervention,1,3
0.9997298,0.0,0.22759776980472293,0.5925276028308322,No Intervention,0,0
0.99675995,0.0,0.2615770582534117,0.5799945953865586,No Intervention,0,0
0.9961351,0.0,0.22368371856714406,0.592672128611289,No Intervention,1,1
0.9988575,0.0,0.21976711554441536,0.5949021646473939,No Intervention,4,4
