Student_Label,Section,Exam,IGV,IL,SER,n_unanswered,n_questions,blank_ratio,duration_sec,start_min,score_pct,Label,BFD,is_disrupted,RIF
Student_EF,Section_103,Midterm1,0.25925925925925924,4.0,0.8888888888888888,1,27,0.037037037037037035,2819,4,,Normal,0.09816796122688576,False,0
Student_EG,Section_202,Midterm1,0.0,4.0,0.9259259259259259,0,27,0.0,3088,4,,Normal,0.1177050621924948,False,0
Student_EH,Section_201,Midterm1,0.0,4.0,0.9259259259259259,0,27,0.0,4380,4,,Normal,0.09829868769440492,False,1
Student_EI,Section_202,Midterm1,0.0,4.0,0.9259259259259259,0,27,0.0,4320,4,,Normal,0.0,False,0
Student_EJ,Section_103,Midterm1,0.0,4.0,0.9259259259259259,2,27,0.07407407407407407,5220,4,81.48,Normal,0.09813576230169457,False,0
Student_EK,Section_101,Midterm1,36.75,4.0,0.8148148148148148,5,27,0.18518518518518517,1129,4,74.08,Normal,0.0,False,0
Student_EL,Section_102,Midterm1,0.0,4.0,0.9259259259259259,0,27,0.0,4560,4,,Normal,0.4180760443374373,False,0
Student_EM,Section_102,Midterm1,0.9629629629629629,4.0,0.9259259259259259,1,27,0.037037037037037035,2363,4,,Normal,0.08602110508668176,False,1
Student_EN,Section_103,Midterm1,0.0,4.0,0.9259259259259259,0,27,0.0,4620,4,,Normal,0.07857956122129421,False,0
Student_EO,Section_101,Midterm1,0.0,5.0,0.9259259259259259,0,27,0.0,6000,5,,Normal,0.0,False,0
Student_EP,Section_201,Midterm1,0.0,5.0,0.9259259259259259,0,27,0.0,3780,5,,Normal,0.06555516055859001,False,0
Student_EQ,Section_103,Midterm1,0.07407407407407407,5.0,0.8888888888888888,1,27,0.037037037037037035,5940,5,,Normal,0.0,False,0
Student_ER,Section_201,Midterm1,0.0,5.0,0.9259259259259259,0,27,0.0,4380,5,,Normal,0.14392872816796734,False,0
Student_ES,Section_202,Midterm1,0.0,5.0,0.9259259259259259,0,27,0.0,5040,5,,Normal,0.0,False,0
Student_ET,Section_103,Midterm1,0.0,5.0,0.9259259259259259,0,27,0.0,4800,5,,Normal,0.09232550824907608,False,1
Student_EU,Section_101,Midterm1,0.0,5.0,0.9259259259259259,0,27,0.0,4980,5,,Normal,0.20390337214835516,False,0
Student_EV,Section_201,Midterm1,0.9629629629629629,6.0,0.9259259259259259,1,27,0.037037037037037035,4980,6,,Normal,0.18992271662432483,False,1
Student_EW,Section_103,Midterm1,0.0,6.0,0.9259259259259259,0,27,0.0,4980,6,,Normal,0.18658229174076957,False,1
Student_EX,Section_102,Midterm1,0.0,6.0,0.9259259259259259,0,27,0.0,3046,6,,Normal,0.07857956122129421,False,0
Student_EY,Section_101,Midterm1,0.9629629629629629,6.0,0.9259259259259259,1,27,0.037037037037037035,4980,6,,Normal,0.05403504007890907,False,1
Student_EZ,Section_102,Midterm1,0.0,6.0,0.9259259259259259,2,27,0.07407407407407407,2806,6,77.76,Normal,0.05255028288278689,False,0
Student_FA,Section_102,Midterm1,0.9629629629629629,6.0,0.9259259259259259,1,27,0.037037037037037035,4980,6,,Normal,0.08602110508668176,False,0
Student_FB,Section_101,Midterm1,0.0,6.0,0.9259259259259259,0,27,0.0,4920,6,,Normal,0.0,False,0
Student_FC,Section_101,Midterm1,0.0,7.0,0.9259259259259259,0,27,0.0,3720,7,,Normal,0.1633912601575913,False,0
Student_FD,Section_102,Midterm1,0.0,7.0,0.9259259259259259,0,27,0.0,1601,7,,Normal,0.0,False,0
Student_FE,Section_103,Midterm1,0.0,7.0,0.8888888888888888,2,27,0.07407407407407407,5820,7,,Normal,0.0,False,0
Student_FF,Section_103,Midterm1,0.9629629629629629,7.0,0.9259259259259259,1,27,0.037037037037037035,4920,7,,Normal,0.0,False,0
Student_FG,Section_103,Midterm1,0.0,8.0,0.9259259259259259,0,27,0.0,3600,8,,Normal,0.033129893085538396,False,0
Student_FH,Section_201,Midterm1,0.0,8.0,0.9259259259259259,0,27,0.0,4740,8,,Normal,0.05255028288278689,False,0
Student_FI,Section_102,Midterm1,0.0,8.0,0.9259259259259259,0,27,0.0,1867,8,,Normal,0.03978773855213241,False,0
Student_FJ,Section_102,Midterm1,0.9629629629629629,8.0,0.9259259259259259,1,27,0.037037037037037035,4860,8,,Normal,0.0,False,0
Student_FK,Section_201,Midterm1,0.07407407407407407,8.0,0.8888888888888888,1,27,0.037037037037037035,4860,8,,Normal,0.06301220893267771,False,1
Student_FL,Section_103,Midterm1,0.0,8.0,0.9259259259259259,2,27,0.07407407407407407,1365,8,85.2,Normal,0.27444730942137857,False,1
Student_FM,Section_101,Midterm1,0.0,8.0,0.9259259259259259,0,27,0.0,4200,8,,Normal,0.15211525586994107,False,0
Student_FN,Section_101,Midterm1,0.48148148148148145,9.0,0.8888888888888888,1,27,0.037037037037037035,2547,9,,Normal,0.0,False,0
Student_FO,Section_102,Midterm1,0.9629629629629629,9.0,0.9259259259259259,1,27,0.037037037037037035,4800,9,,Normal,0.3286463300462337,False,0
Student_FP,Section_102,Midterm1,0.0,10.0,0.9259259259259259,0,27,0.0,3600,10,,Normal,0.26658350397888675,False,1
Student_FQ,Section_101,Midterm1,0.0,10.0,0.9259259259259259,2,27,0.07407407407407407,1452,10,74.08,Normal,0.0,False,0
Student_FR,Section_101,Midterm1,0.0,10.0,0.9259259259259259,2,27,0.07407407407407407,4440,10,85.2,P4,0.0207019129849409,False,2
Student_FS,Section_101,Midterm1,0.0,11.0,0.9259259259259259,2,27,0.07407407407407407,4680,11,51.84000000000001,Normal,0.05255028288278689,False,1
Student_FT,Section_201,Midterm1,0.9259259259259259,11.0,0.9259259259259259,1,27,0.037037037037037035,4680,11,,Normal,0.11382701191978763,False,0
Student_FU,Section_101,Midterm1,0.9629629629629629,11.0,0.9259259259259259,1,27,0.037037037037037035,4680,11,,Normal,0.0,False,0
Student_FV,Section_101,Midterm1,0.0,13.0,0.9259259259259259,0,27,0.0,2548,13,,Normal,0.0,False,0
Student_FW,Section_202,Midterm1,0.9629629629629629,14.0,0.9259259259259259,1,27,0.037037037037037035,3560,14,,P4,0.06106019717643988,False,2
Student_FX,Section_102,Midterm1,0.0,14.0,0.8888888888888888,2,27,0.07407407407407407,4500,14,,Normal,0.033052073455555206,False,0
Student_FY,Section_202,Midterm1,0.0,15.0,0.9259259259259259,0,27,0.0,4080,15,,Normal,0.0,False,0
